Variable_Set,Model,Threshold,Accuracy,Precision,Recall,F1-score,AUC,Best_Score,Best_Params,Train_F1_Mean,CV_F1_Mean,F1_Gap,Train_Recall_Mean,CV_Recall_Mean,Recall_Gap,Gap_Diagnosis
Modelo 8 — Integrado Multidimensional,Logistic Regression,0.38,0.864,0.575,0.592,0.583,0.814,0.542,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__C': 100}",0.606,0.526,0.08,0.483,0.422,0.062,Moderate gap
Modelo 2 — Nível Hierárquico e Benefícios,Logistic Regression Balanced,0.71,0.864,0.582,0.549,0.565,0.83,0.484,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__C': 10}",0.515,0.478,0.037,0.78,0.716,0.064,Stable generalization
Modelo 8 — Integrado Multidimensional,Logistic Regression Balanced,0.64,0.837,0.495,0.634,0.556,0.81,0.531,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__C': 10}",0.571,0.531,0.041,0.823,0.758,0.065,Stable generalization
Modelo 2 — Nível Hierárquico e Benefícios,Logistic Regression,0.33,0.853,0.543,0.535,0.539,0.833,0.405,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__C': 10}",0.42,0.388,0.032,0.292,0.271,0.021,Stable generalization
Modelo 3 — Faixa Salarial,Logistic Regression Balanced,0.58,0.81,0.437,0.634,0.517,0.797,0.442,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__C': 10}",0.475,0.44,0.035,0.731,0.679,0.052,Stable generalization
Modelo 2 — Nível Hierárquico,Logistic Regression Balanced,0.62,0.823,0.461,0.577,0.512,0.817,0.451,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__C': 1}",0.468,0.448,0.02,0.722,0.692,0.031,Stable generalization
Modelo 6 — Perfil Pessoal e Condições de Trabalho,Logistic Regression Balanced,0.59,0.816,0.447,0.592,0.509,0.802,0.465,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__C': 100}",0.5,0.458,0.041,0.756,0.703,0.053,Stable generalization
Modelo 4 — Experiência Profissional,Logistic Regression Balanced,0.61,0.821,0.456,0.577,0.509,0.796,0.467,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__C': 10}",0.492,0.459,0.034,0.765,0.721,0.044,Stable generalization
Modelo 5 — Antiguidade Organizacional,Logistic Regression Balanced,0.6,0.807,0.43,0.606,0.503,0.781,0.465,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__C': 1}",0.48,0.464,0.016,0.76,0.733,0.027,Stable generalization
Modelo 6 — Perfil Pessoal,Logistic Regression Balanced,0.56,0.794,0.407,0.62,0.492,0.802,0.47,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__C': 10}",0.504,0.464,0.04,0.757,0.704,0.053,Stable generalization
Modelo 5 — Estabilidade e Benefícios,Logistic Regression,0.23,0.791,0.404,0.62,0.489,0.795,0.428,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__C': 100}",0.447,0.387,0.06,0.322,0.271,0.051,Moderate gap
Modelo 3 — Rendimento Quantitativo,Logistic Regression Balanced,0.65,0.819,0.447,0.535,0.487,0.796,0.451,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__C': 100}",0.471,0.444,0.027,0.751,0.703,0.048,Stable generalization
Modelo 1 — Função Profissional,Logistic Regression Balanced,0.61,0.803,0.415,0.549,0.473,0.781,0.46,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__C': 1}",0.482,0.455,0.027,0.74,0.697,0.043,Stable generalization
Modelo 1 — Função Profissional Misto,Logistic Regression,0.31,0.83,0.471,0.465,0.468,0.788,0.401,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__C': 10}",0.398,0.378,0.019,0.27,0.266,0.004,Possible underfitting
Modelo 5 — Estabilidade e Benefícios,Logistic Regression Balanced,0.74,0.857,0.587,0.38,0.462,0.795,0.465,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__C': 10}",0.508,0.459,0.049,0.762,0.692,0.07,Stable generalization
Modelo 1 — Função Profissional Misto,Logistic Regression Balanced,0.65,0.819,0.442,0.479,0.459,0.78,0.455,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__C': 1}",0.495,0.454,0.041,0.758,0.697,0.061,Stable generalization
Modelo 4 — Trajetória Organizacional,Logistic Regression,0.26,0.81,0.422,0.493,0.455,0.78,0.401,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__C': 10}",0.424,0.387,0.037,0.298,0.271,0.027,Stable generalization
Modelo 7 — Reduzido Conservador,Logistic Regression Balanced,0.51,0.728,0.331,0.676,0.444,0.756,0.414,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__C': 0.1}",0.435,0.412,0.023,0.717,0.672,0.044,Stable generalization
Modelo 7 — Reduzido Conservador Misto,Logistic Regression Balanced,0.5,0.735,0.333,0.648,0.44,0.781,0.425,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__C': 1}",0.438,0.425,0.013,0.718,0.696,0.021,Stable generalization
Modelo 4 — Trajetória Organizacional,Logistic Regression Balanced,0.57,0.766,0.349,0.521,0.418,0.771,0.482,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l1', 'classifier__C': 1}",0.507,0.477,0.03,0.762,0.721,0.041,Stable generalization
